Symbol,Description,Asset_Type
ACRS,Aclaris Therapts,Stock
ACRX,Acelrx Pharmaceutica,Stock
ACSF,American Capital Sen,Stock
ACST,Acasti Pharma,Stock
ACT,Advisorshares Vice ETF,Stock
ACTG,Acacia Res-Acacia,Stock
ACV,Allianzgi Diversified Income &,Stock
ACWI,Ishares ACWI ETF,Stock
ACWX,Ishares ACWI Ex-US ETF,Stock
ACXM,Acxiom Cp,Stock
ADAP,Adaptimmune Ther Ads,Stock
ADBE,Adobe Systems Inc,Stock
ADC,Agree Realty Corp,Stock
ADES,Advanced Emissions Solutions Inc,Stock
ADI,Analog Devices,Stock
ADM,Archer Daniels Midland Company,Stock
ADMA,Adma Biologics,Stock
ADMP,Adamis Pharmaceuticl,Stock
ADMS,Adamas Pharma,Stock
ADNT,Adient Plc,Stock
ADOM,Adomani Inc,Stock
ADP,Automatic Data Procs,Stock
ADRA,Bldrs Asia 50 Fd,Stock
ADRD,Bldrs Dev Mkts 100,Stock
ADRE,Bldrs EM Mkts 50,Stock
ADRO,Aduro Biotech,Stock
ADRU,Bldrs EUR 100 Fd,Stock
ADS,Alliance Data Systems Corp,Stock
ADSK,Autodesk Inc,Stock
ADSW,Advanced Disposal Services Inc,Stock
ADT,ADT Inc.,Stock
ADTN,Adtran Inc,Stock
ADUS,Addus Homecare Corpo,Stock
ADVM,Adverum Biotechnlgs,Stock
ADX,Adams Express Company,Stock
ADXS,Advaxis Inc,Stock
ADXSW,Advaxis Inc Wts,Stock
AEB,Aegon N.V. Perp Cap Secs Floating Rate [Ne],Stock
AED,Aegon N.V. Perp Cap Secs [Ne],Stock
AEE,Ameren Corp,Stock
AEG,Aegon N.V.,Stock
AEGN,Aegion Corp,Stock
AEH,Aegon N.V. Perp Cap Secs,Stock
AEHR,Aehr Test Systems,Stock
AEIS,Advanced Energy,Stock
AEK,Aegon Nv 8.00% Non-Cum Notes Due 2042,Stock
AEL,American Equity Investment Life,Stock
AEM,Agnico-Eagle Mines Ltd,Stock
AEMD,Aethlon Medical,Stock
AEO,American Eagle Outfitters,Stock
AEP,American Electric Power Company,Stock
AER,Aercap Holdings N.V.,Stock
AERI,Aerie Pharmaceutical,Stock
AES,The Aes Corp,Stock
AET,Aetna Inc,Stock
AETI,American Electric Te,Stock
AEUA,Anadarko Petroleum Corp,Stock
AEY,Addvantage Techs Grp,Stock
AEZS,Aeterna Zentaris,Stock
AFAM,Almost Family Inc,Stock
AFB,Alliance National Municipal,Stock
AFC,Allied Capital Corp,Stock
AFG,American Financial Group,Stock
AFGE,American Financial Group Inc,Stock
AFGH,American Financial Group Inc,Stock
AFH,Atlas Fincl Hld Ord,Stock
AFHBL,Atlas Financial Holdings Inc 6.625% Senior Uns,Stock
AFI,Armstrong Flooring Inc,Stock
AFL,Aflac Incorporated,Stock
AFMD,Affimed N.V.,Stock
AFS-A,Amtrust Financial Services Inc,Stock
AFS-B,Amtrust Financial Services Dep Pfd,Stock
AFS-C,Amtrust Financial Services Series C,Stock
AFS-D,Amtrust Financial Services Dep Pfd,Stock
AFS-E,Amtrust Financial Services Inc Prf,Stock
AFS-F,Amtrust Financial Services Inc,Stock
AFSI,Amtrust Financial,Stock
AFSS,Amtrust Financial Services Inc,Stock
AFST,Amtrust Financial Services Inc,Stock
AFT,Apollo Senior Floating Rate Fund Inc,Stock
AG,First Majestic Silver,Stock
AGC,Advent Claymore Convertible Securities,Stock
AGCO,Agco Corp,Stock
AGD,Alpine Global Dynamic Dividend Fund,Stock
AGEN,Agenus Inc,Stock
AGFS,Agrofresh Solutions,Stock
AGFSW,Agrofresh Sol Wrrnts,Stock
AGI,Alamos Gold Inc,Stock
AGII,Argo Group Intl Hlds,Stock
AGIIL,Argo Grp Itl Snr NTS,Stock
AGIO,Agios Pharmaceutical,Stock
AGLE,Aeglea Biothera,Stock
AGM,Federal Agricultural Mortgage Corp,Stock
AGM.A,Federal Agricultural Mortgage Corp,Stock
AGM-A,Federal Agricultural Mortgage,Stock
AGM-B,Federal Ag,Stock
AGM-C,Federal Agricultural Mortgage,Stock
AGN,Allergan Plc,Stock
AGN-A,Allergan Plc 5.50% Mandatory C,Stock
AGNC,American Capital Age,Stock
AGNCB,American Cap Agy Cor,Stock
AGNCN,Agnc Investment Corp,Stock
AGND,Wisdomtree Neg Duration US Agg Bond Fund,Stock
AGO,Assured Guaranty Ltd,Stock
AGO-B,Assured Guaranty Ltd [B],Stock
AGO-E,Assured Guaranty Ltd [E],Stock
AGO-F,Assured Guaranty Ltd [F],Stock
AGR,Avangrid Inc,Stock
AGRO,Adecoagro S.A.,Stock
AGRX,Agile Therap,Stock
AGS,Playags Inc.,Stock
AGTC,Applied Genetic Tech,Stock
AGX,Argan Inc,Stock
AGYS,Agilysys Inc,Stock
AGZD,Wisdomtree Int Rate US Agg Bond Fund,Stock
AHC,A.H. Belo Corp,Stock
AHGP,Alliance Holdings Gp,Stock
AHH,Armada Hoffler Properties Inc,Stock
AHL,Aspen Insurance Holdings,Stock
AHL-C,Aspen Ins Pfd Inc,Stock
AHL-D,Aspen Insurance Holdings Ltd,Stock
AHP,Ashford Hospitality Prime Inc,Stock
AHPA,Avista Healthcare Public Acquisition Corp Class,Stock
AHPAW,Avista Healthcare Public Acquisition Corp Warra,Stock
AHP-B,Ashford Hospitality Prime Inc,Stock
AHPI,Allied Healthcare,Stock
AHT,Ashford Hospitality Trust Inc,Stock
AHT-D,Ashford Hosp D Pfd,Stock
AHT-F,Ashford Hospitality Trust Inc,Stock
AHT-G,Ashford Hospitality Trust Inc,Stock
AHT-H,Ashford Hospitality Trust Inc Cum Pfd Ser H,Stock
AHT-I,Ashford Hospitality Trust Inc. 7.50% Series I Pf,Stock
AI,Arlington Asset Investment Corp,Stock
AIA,Ishares Asia 50 ETF,Stock
AI-B,Arlington Asset 7.00% Series B Pfd,Stock
AIC,Arlington Asset Investment Cor,Stock
AIF,Apollo Tactical Income Fund Inc,Stock
AIG,American International Group,Stock
AIG.W,American International Group,Stock
AIHS,Senmiao Technology Limited,Stock
AIMC,Altra Indtl Mtn,Stock
AIMT,Aimmune Therap,Stock
AIN,Albany International Corp,Stock
AINV,Apollo Investment Co,Stock
AIPT,Precision Therapeutics Inc.,Stock
AIR,AAR Corp,Stock
AIRG,Airgain Inc,Stock
AIRR,Rba American Industrial Renaissance ETF FT,Stock
AIRT,Air T Inc,Stock
AIT,Applied Industrial Technologies,Stock
AIV,Apartment Investment and Management,Stock
AIV-A,Apartment Investment and Manag,Stock
AIW,Arlington Asset Investment Cor,Stock
AIY,Apollo Investment Corp,Stock
AIZ,Assurant Inc,Stock
AIZP,Assurant Inc. 6.50% Series D Mandatory Converti,Stock
AJG,Arthur J. Gallagher & Co,Stock
AJRD,Aerojet Rocketdyne Holdings,Stock
AJX,Great Ajax Corp,Stock
AJXA,Great Ajax Corp 7.25% Convertible Senior Notes,Stock
AKAM,Akamai Technologies,Stock
AKAO,Achaogen Inc,Stock
AKBA,Akebia Therapeutics,Stock
AKCA,Akcea Therapeutics Inc,Stock
AKER,Akers Biosciences,Stock
AKO.A,Embotell Andina Sa A,Stock
AKO.B,Embotell Andna Sa B,Stock
AKP,Alliance California Muni,Stock
AKR,Acadia Realty Trust,Stock
AKRX,Akorn Inc,Stock
AKS,AK Steel Holding Corp,Stock
AKTS,Akoustis Technologies Inc,Stock
AKTX,Akari Therapeutics,Stock
AL,Air Lease Corporation Class A C,Stock
ALB,Albemarle Corp,Stock
ALBO,Albireo Pharma Inc,Stock
ALCO,Alico Inc,Stock
ALDR,Alder Biopharma,Stock
ALDX,Aldeyra Therapeu,Stock
ALE,Allete Inc,Stock
ALEX,Alexander and Baldwin Inc,Stock
ALG,Alamo Group,Stock
ALGN,Align Technology I,Stock
ALGT,Allegiant Travel Com,Stock
ALIM,Alimera Sciences Inc,Stock
ALJJ,Alj Regional Hold,Stock
ALK,Alaska Air Group,Stock
ALKS,Alkermes Plc,Stock
ALL,Allstate Corp,Stock
ALL-A,Allstate Corporation Pfd,Stock
ALL-B,Ally Financial Inc Fixed Rate F,Stock
ALL-C,The Allstate Corp,Stock
ALL-D,Allstate Corp,Stock
ALLE,Allegion Plc Ordinary Shares Wh,Stock
ALL-E,The Allstate Corp,Stock
ALL-F,The Allstate Corp,Stock
ALLT,Allot Communications,Stock
ALLY,Ally Financial,Stock
ALL-Y,GMAC Capital Trust I Fixed Rate,Stock
ALNA,Allena Pharmaceuticals Inc,Stock
ALNY,Alnylam Pharmaceut,Stock
ALOG,Analogic Cp,Stock
ALOT,Astronova Inc,Stock
ALPN,Alpine Immune Sciences Inc,Stock
ALP-Q,Alabama Power Co. Pfd,Stock
ALQA,Alliqua Biomedical,Stock
ALRM,Alarm.Com,Stock
ALRN,Aileron Therapeutics Inc,Stock
ALSK,Alaska Commun Sys,Stock
ALSN,Allison Transmission Holdings,Stock
ALT,Altimmune Inc,Stock
ALTR,Altair Engineering Inc Class A,Stock
ALTY,G-X Super Dividend Alternatives ETF,Stock
ALV,Autoliv Inc,Stock
ALX,Alexander's Inc,Stock
ALXN,Alexion Pharm Inc,Stock
AM,Antero Resources Midstream Llc,Stock
AMAG,Amag Pharmaceuticals,Stock
AMAT,Applied Materials,Stock
AMBA,Ambarella Inc,Stock
AMBC,Ambac Financial Grp,Stock
AMBCW,Ambac Financial Grp,Stock
AMBR,Amber Road Inc,Stock
AMC,Amc Entertainment Holdings Inc,Stock
AMCA,Ishares Russell 1000 Pure U.S. Revenue ETF,Stock
AMCN,Airmedia Group Inc,Stock
AMCX,Amc Networks Cl A,Stock
AMD,Adv Micro Devices,Stock
AMDA,Amedica Corp,Stock
AME,Amtek Inc,Stock
AMED,Amedisys Inc,Stock
AMEH,Apollo Medical Holdings Inc,Stock
AMG,Affiliated Managers Group,Stock
AMGN,Amgen,Stock
AMGP,Antero Midstream Gp LP,Stock
AMH,American Homes 4 Rent,Stock
AMH-C,American Homes,Stock
AMH-D,American Homes 4 Rent,Stock
AMH-E,American Homes 4 Rent 6.35% Ser,Stock
AMH-F,American Homes 4 Rent Cum Red Perp Pfd Shs,Stock
AMH-G,American Homes 4 Rent Series G Pfd,Stock
AMID,American Midstreampartners LP,Stock
AMKR,Amkor Technology,Stock
AMMA,Alliance Mma Inc,Stock
AMN,Amn Healthcare Services Inc,Stock
AMNB,American Natl Bksh,Stock
AMOT,Allied Motion Tech,Stock
AMOV,America Movil A ADR,Stock
AMP,Ameriprise Financial Services,Stock
AMPH,Amphastar Pharma,Stock
AMR,Alta Mesa Resources Inc.,Stock
AMRB,American River Bkshs,Stock
AMRC,Ameresco Inc,Stock
AMRH,Ameri Holdings Inc,Stock
AMRHW,Ameri Holdings Inc Warrant,Stock
AMRK,A-Mark Precious Meta,Stock
AMRN,Amarin Corp Ads,Stock
AMRS,Amyris Inc,Stock
AMRWW,Alta Mesa Resources Inc. Wt.,Stock
AMSC,Amer Superconductor,Stock
AMSF,Amerisafe Inc,Stock
AMSWA,Amer Software Inc,Stock
AMT,American Tower Corp,Stock
AMTD,TD Ameritrade HD,Stock
AMTX,Aemetis Inc,Stock
AMWD,Amer Woodmark Cp,Stock
AMX,America Movil S.A.B. De C.V.,Stock
AMZN,Amazon.Com Inc,Stock
AN,Autonation Inc,Stock
ANAB,Anaptysbio Inc,Stock
ANAT,Amer Natl Insurance,Stock
ANCB,Anchor Bancorp,Stock
ANCX,Access National Corp,Stock
ANDA,Andina Acq Cp Ord Sh,Stock
ANDAR,Andina Acq Cp Rt,Stock
ANDAW,Andina Acq Cp WT,Stock
ANDE,Andersons Inc,Stock
ANDV,Andeavor,Stock
ANDX,Andeavor Logistics LP,Stock
ANET,Arista Networks Inc,Stock
ANF,Abercrombie & Fitch Company,Stock
ANFI,Amira Nature Foods Ltd,Stock
ANGI,Homeservices Inc,Stock
ANGO,Angiodynamics Inc,Stock
ANH,Anworth Mortgage Asset Corp,Stock
ANH-A,Anworth Mtg Pfd A,Stock
ANH-B,Anworth 6.25 Pr S B,Stock
ANH-C,Anworth Mortgage Asset Corpora,Stock
ANIK,Anika Therapeutics,Stock
ANIP,ANI Pharma Inc,Stock
ANSS,Ansys Inc,Stock
ANTH,Anthera Pharmaceutic,Stock
ANTM,Anthem Inc,Stock
ANTX,Anthem Inc,Stock
ANW,Aegean Marine Petroleum Network,Stock
ANY,Sphere 3D Corp,Stock
AOBC,American Outdoor Brands Corp,Stock
AOD,Alpine Total Dynamic Dividend,Stock
AOI,Alliance One International,Stock
AON,AON Plc,Stock
AOS,Smith [A.O.] Corp,Stock
AOSL,Alpha and Omega Semi,Stock
AP,Ampco-Pittsburgh Corp,Stock
APA,Apache Corp,Stock
APAM,Artisan Partners Asset Manageme,Stock
APB,Asia Pacific Fund Inc,Stock
APC,Anadarko Petroleum Corp,Stock
APD,Air Products and Chemicals,Stock
APDN,Applied Dna Scns,Stock
APDNW,Applied Dna Sci Wrnt,Stock
APEI,American Pub. Edu.,Stock
APEN,Apollo Endosurgery Inc,Stock
APF,Morgan Stanley Asia Pacific Fund Inc,Stock
APH,Amphenol Corp,Stock
APLE,Apple Hospitality REIT Inc,Stock
APLP,Archrock Partners LP,Stock
APLS,Apellis Pharmaceuticals Inc,Stock
APO,Apollo Global Management Llc C,Stock
APO-A,Apollo Global Management Llc Pfd Ser A,Stock
APOG,Apogee Entrpr Inc,Stock
APOP,Cellect Biotechnology Ltd,Stock
APOPW,Cellect Biotechnology Ltd,Stock
APPF,Appfolio Cl A,Stock
APPN,Appian Corporation Class A,Stock
APPS,Digital Turbine,Stock
APRI,Apricus Biosc Inc,Stock
APRN,Blue Apron Holdings Inc,Stock
APTI,Apptio Inc,Stock
APTO,Aptose Bioscns,Stock
APTS,Preferred Apartment Communities,Stock
APTV,Aptiv Plc,Stock
APU,Amerigas Partners LP,Stock
APVO,Aptevo Therapeutics Inc,Stock
APWC,Asia Pacific Wire & Cable,Stock
AQ,Aquantia Corp,Stock
AQB,Aquabounty Technologies Inc,Stock
AQMS,Aqua Metals Inc,Stock
AQN,Algonquin Pwr & Util,Stock
AQUA,Evoqua Water Technologies Corp,Stock
AQXP,Aquinox Pharmaceutic,Stock
AR,Antero Resources Corp,Stock
ARA,American Renal Associates Holdi,Stock
ARAY,Accuray Incorporated,Stock
ARC,American Reprographics Company,Stock
ARCB,Arcbest Corp,Stock
ARCC,Ares Capital Corp,Stock
ARCH,Arch Coal Inc,Stock
ARCI,Applnc Rcycl Ct Amer,Stock
ARCO,Arcos Dorados Holdings Inc,Stock
ARCT,Arcturus Therapeutics Ltd,Stock
ARCW,Arc Group Worldwide,Stock
ARD,Ardagh Group S.A.,Stock
ARDC,Ares Dynamic Credit Allocation,Stock
ARDM,Aradigm Corp,Stock
ARDX,Ardelyx Inc,Stock
ARE,Alexandria Real Estate Equities,Stock
ARE-A,Alexandria Real Estate Equities,Stock
ARE-D,Alexandria Real Estate Equitie,Stock
ARES,Ares Management LP,Stock
AREX,Approach Res. Inc,Stock
ARGS,Argos Therapeutics,Stock
ARGX,Argenx Se Ads,Stock
ARI,Apollo Commercial Real Estate,Stock
ARI-C,Apollo Commercial 8% Cum. Perp. Pfd. Series C,Stock
ARII,American Railcar Ind,Stock
ARKR,Ark Restaurants Cp,Stock
ARL,American Realty Investors,Stock
ARLP,Alliance Resource Pt,Stock
ARLZ,Aralez Pharm Inc,Stock
ARMK,Aramark Holdings Corp,Stock
ARMO,Armo Biosciences Inc.,Stock
ARNA,Arena Pharmaceutical,Stock
ARNC,Arconic Inc,Stock
AROC,Archrock Inc,Stock
AROW,Arrow Financial Corp,Stock
ARQL,Arqule Inc,Stock
ARR,Armour Residential R,Stock
ARR-A,Armour Residential REIT Inc,Stock
ARR-B,Armour Residential REIT Inc,Stock
ARRS,Arris Group Inc,Stock
ARRY,Array Biopharma Inc,Stock
ARTNA,Artesian Res Cp A,Stock
ARTW,Art S Way MFG Co I,Stock
ARTX,Arotech Corp,Stock
ARW,Arrow Electronics,Stock
ARWR,Arrowhead Pharma,Stock
ASA,ASA Gold and Precious Metals,Stock
ASB,Associated Banc-Corp,Stock
ASB-C,Associated Banc-Corp Depositary,Stock
ASB-D,Associated Banc-Corp,Stock
ASC,Ardmore Shipping Corp,Stock
ASCMA,Ascent Capital Group,Stock
ASET,Flexshares Real Assets Allocation Index Fund,Stock
ASFI,Asta Funding Inc,Stock
ASG,Liberty All-Star Growth Fund,Stock
ASGN,On Assignment,Stock
ASH,Ashland Global Holdings Inc,Stock
ASIX,Advansix Inc,Stock
ASMB,Assembly Biosciences,Stock
ASML,Asml Hldg NY Reg,Stock
ASNA,Ascena Retail Grp,Stock
ASND,Ascendis Pharma Ads,Stock
ASNS,Arsanis Inc,Stock
ASPN,Aspen Aerogels Inc,Stock
ASPS,Altisource Portfolio,Stock
ASPU,Aspen Group Inc,Stock
ASR,Grupo Aeroportuario Del Sureste,Stock
ASRV,Ameriserv Financial,Stock
ASRVP,Ameriserv Fin Cap,Stock
ASTC,Astrotech Corp,Stock
ASTE,Astec Inds Inc,Stock
ASUR,Asure Software,Stock
ASV,Asv Holdings Inc,Stock
ASX,Advanced Semiconductor Engineering,Stock
ASYS,Amtech Systems Inc,Stock
AT,Atlantic Power Corp,Stock
ATAC,Atlantic Acquisition Corp,Stock
ATACR,Atlantic Acquisition Corp Right,Stock
ATACU,Atlantic Acquisition Corp Unit,Stock
ATAI,Ata Inc ADR,Stock
ATAX,Amer First Mf Inv,Stock
ATEC,Alphatec Holdings,Stock
ATEN,A10 Networks Inc,Stock
ATGE,Adtalem Global Education Inc,Stock
ATH,Athene Holding Ltd,Stock
ATHM,Autohome Inc,Stock
ATHN,Athenahealth Inc,Stock
ATHX,Athersys Inc,Stock
ATI,Allegheny Technologies Inc,Stock
ATKR,Atkore International Group,Stock
ATLC,Atlanticus Hldg Cp,Stock
ATLO,Ames Natl Corp,Stock
ATNI,Atn International,Stock
ATNX,Athenex Inc,Stock
ATO,Atmos Energy Corp,Stock
ATOM,Atomera Inc,Stock
ATOS,Atossa Genetics Inc,Stock
ATR,Aptargroup,Stock
ATRA,Atara Biotherap,Stock
ATRC,Atricure Inc,Stock
ATRI,Atrion Corp,Stock
ATRO,Astronics Cp,Stock
ATRS,Antares Pharma,Stock
ATSG,Air Transport,Stock
ATTO,Atento S.A.,Stock
ATTU,Attunity Ltd,Stock
ATU,Actuant Corp,Stock
ATUS,Altice USA Inc Class A,Stock
ATV,Acorn International,Stock
ATVI,Activision Blizzard,Stock
ATXI,Avenue Therapeutics Inc,Stock
AU,Anglogold Ashanti Ltd,Stock
AUBN,Auburn Natl Bncp I,Stock
AUDC,Audiocodes Ltd,Stock
AUO,Au Optronics Corp,Stock
AUPH,Aurinia Pharm Ord,Stock
AUTO,Autoweb Inc,Stock
AUY,Yamana Gold,Stock
AVA,Avista Corp,Stock
AVAL,Grupo Aval Acciones Y Valores S,Stock
AVAV,Aerovironment Inc,Stock
AVB,Avalonbay Communities,Stock
AVD,American Vanguard Corp,Stock
AVDL,Avadel Pharmaceuticals Plc,Stock
AVEO,Aveo Pharmaceuticals,Stock
AVGO,Broadcom Ltd,Stock
AVGR,Avinger Inc,Stock
AVH,Avianca Holdings S.A.,Stock
AVHI,A V Homes Inc,Stock
AVID,Avid Tech Inc,Stock
AVK,Advent Claymore Convertible Securities,Stock
AVNW,Aviat Networks Inc,Stock
AVP,Avon Products,Stock
AVT,Avnet Inc,Stock
AVX,Avx Corp,Stock
AVXL,Anavex Lf SC,Stock
AVXS,Avexis Inc,Stock
AVY,Avery Dennison Corp,Stock
AVYA,Avaya Holdings Corp,Stock
AWF,Alliancebernstein Global High Income Fund,Stock
AWI,Armstrong World Industries Inc,Stock
AWK,American Water Works,Stock
AWP,Alpine Global Premier Propertie,Stock
AWR,American States Water Company,Stock
AWRE,Aware Inc,Stock
AXAS,Abraxas Petro Corp,Stock
AXDX,Accelerate Diagnosti,Stock
AXE,Anixter International Inc,Stock
AXGN,Axogen Inc,Stock
AXL,American Axle & Manufacturing,Stock
AXON,Axovant Sciences Ltd,Stock
AXP,American Express Company,Stock
AXR,Amrep Corp,Stock
AXS,Axis Capital Holdings,Stock
AXS-D,Axis Capital Holdings Ltd,Stock
AXS-E,Axis Capital Holdings Ltd,Stock
AXSM,Axsome Thera,Stock
AXTA,Axalta Coating Systems Ltd,Stock
AXTI,Axt Inc,Stock
AY,Atlantica Yield Plc,Stock
AYI,Acuity Brands Inc,Stock
AYR,Aircastle Ltd,Stock
AYTU,Aytu Bioscience Inc,Stock
AYX,Alteryx Inc,Stock
AZN,Astrazeneca Plc,Stock
AZO,Autozone,Stock
AZPN,Aspen Technology,Stock
AZRE,Azure Power Global Ltd,Stock
AZRX,Azurrx Biopharma Inc,Stock
AZUL,Azul S.A. ADR,Stock
AZZ,Azz Inc,Stock
B,Barnes Group,Stock
BA,Boeing Company,Stock
BABA,Alibaba Group Holding Ltd,Stock
BABY,Natus Medical Inc,Stock
BAC,Bank of America Corp,Stock
BAC.A,Bank of America Corporation Bac,Stock
BAC.B,Bank of America Corporation Bac,Stock
BAC-A,Bank of America Corp,Stock
BAC-C,Bank of America Corp,Stock
BAC-D,Bac Dep Share D,Stock
BAC-E,Bank Amer Corp Dep R,Stock
BAC-I,Bank Amer Corp Pfd,Stock
BAC-L,Bank Amer Pfd Ser L,Stock
BAC-W,Bank of America Corp,Stock
BAC-Y,Bank of America Corp,Stock
BAF,Blackrock Income Inv Quality Trust,Stock
BAH,Booz Allen Hamilton Holding Corp,Stock
BAK,Braskem S.A.,Stock
BAM,Brookfield Asset Management Inc,Stock
BANC,First Pactrust Bancorp,Stock
BAN-C,Banc of California Inc Deposi,Stock
BAND,Bandwidth Inc,Stock
BAN-D,Bank of California Inc Pref Share Series D,Stock
BAN-E,Banc of California Inc,Stock
BANF,Bancfirst Corp,Stock
BANFP,Bfc Capital Trust II,Stock
BANR,Banner Corp,Stock
BANX,Stonecastle Fncl Cp,Stock
BAP,Credicorp Ltd,Stock
BAS,Basic Energy Services,Stock
BASI,Bioanalytical Syst,Stock
BATRA,Liberty Braves CS A,Stock
BATRK,Liberty Braves CS C,Stock
BAX,Baxter International Inc,Stock
BB,Blackberry Ltd,Stock
BBBY,Bed Bath & Beyond,Stock
BBD,Banco Bradesco S.A.,Stock
BBDO,Banco Bradesco S.A.,Stock
BBF,Blackrock Muni Income Trust,Stock
BBG,Bill Barrett Corp,Stock
BBGI,Beasley Brdcst Gr,Stock
BBH,Biotech Vaneck ETF,Stock
BBK,Blackrock Muni Trust,Stock
BBL,Bhp Billiton Plc,Stock
BBN,Balckrock Build America Trust,Stock
BBOX,Black Box Cp,Stock
BBRG,Bravo Brio Restauran,Stock
BBSI,Barrett Business S,Stock
BBT,BB&T Corp,Stock
BBT-D,BB&T Corp,Stock
BBT-E,BB&T Corp,Stock
BBT-F,BB&T Corp,Stock
BBT-G,BB&T Corporation Ser G,Stock
BBT-H,BB&T Corp,Stock
BBU,Brookfield Business Partners LP,Stock
BBVA,Banco Bilbao Viscaya Argentaria S.A.,Stock
BBW,Build-A-Bear Workshop,Stock
BBX,Bbx Capital Corp,Stock
BBY,Best Buy Co,Stock
BC,Brunswick Corp,Stock
BCAC,Bison Capital Acquistion Corp Ordinary Shares,Stock
BCACR,Bison Capital Acquistion Corp Rights,Stock
BCACU,Bison Capital Acquisition Corp Unit,Stock
BCACW,Bison Capital Acquistion Corp Warrant,Stock
BCBP,Bcb Bancorp Inc,Stock
BCC,Boise Cascade L.L.C.,Stock
BCE,BCE Inc,Stock
BCEI,Bonanza Creek Energy Inc,Stock
BCH,Banco De Chile,Stock
BCLI,Brainstorm Cell,Stock
BCO,Brink's Company,Stock
BCOM,B Communications Ltd,Stock
BCOR,Blucora Inc,Stock
BCOV,Brightcove Inc,Stock
BCPC,Balchem Cp,Stock
BCRH,Blue Capital Reinsurance Holdi,Stock
BCRX,Biocryst Pharma Inc,Stock
BCS,Barclays Plc,Stock
BCS-D,Barclays Bank Plc,Stock
BCTF,Bancorp 34 Inc,Stock
BCX,Blackrock Resources,Stock
BDC,Belden Inc,Stock
BDC-B,Belden Inc,Stock
BDGE,Bridge Bancorp Inc,Stock
BDJ,Blackrock Enhanced Dividend Achievers,Stock
BDN,Brandywine Realty Trust,Stock
BDSI,Biodelivery Sci Intl,Stock
BDX,Becton Dickinson and Company,Stock
BDXA,Becton Dickinson & Co,Stock
BEAT,Biotelemetry Inc,Stock
BECN,Beacon Roofing Suppl,Stock
BEDU,Bright Scholar Education Holdings Ltd,Stock
BEL,Belmond Ltd,Stock
BELFA,Bel Fuse Cl A,Stock
BELFB,Bel Fuse Inc Cl B,Stock
BEN,Franklin Resources,Stock
BEP,Brookfield Renewable,Stock
BERY,Berry Global Group,Stock
BF.A,Brown Forman Inc A,Stock
BF.B,Brown Forman Inc B,Stock
BFAM,Bright Horizons Family Solutions Inc,Stock
BFIN,Bankfinancial Corpor,Stock
BFIT,G-X Health & Wellness Thematic Et,Stock
